,title,year,rating,votes
597,The Serpent and the Rainbow,1988,6.5,"21,334"
598,The Dallas Connection,1994,4.3,674
599,Primal: Tales of Savagery,2019,8.3,465
600,Flipper,1996,5.3,"9,895"
601,Lilies of the Field,1963,7.6,"8,698"
602,My Blue Heaven,1990,6.3,"18,165"
603,Chatterbox!,1977,5.0,559
604,The Winslow Boy,1999,7.3,"7,135"
605,The Presidio,1988,6.0,"15,870"
606,Man of the House,2005,5.4,"22,375"
607,Crying Freeman,1995,6.5,"11,430"
608,The Order,2003,5.2,"16,699"
609,The War Boys,2009,6.6,"1,547"
610,Georgetown,2019,5.7,392
611,In a Relationship,2018,5.5,"1,826"
612,Highway to Hell,1991,6.0,"3,735"
613,Undertow,2004,6.6,"8,259"
614,+1,2013,5.5,"7,614"
615,Son of Bigfoot,2017,6.1,"4,945"
616,Freak Show,2017,6.7,"3,075"
617,Black Widow,1954,6.7,"2,170"
618,8 Seconds,1994,6.6,"4,727"
619,Anything Else,2003,6.3,"29,136"
620,A Champion Heart,2018,5.4,238
621,Losing Isaiah,1995,6.5,"5,360"
622,Marmaduke,2010,4.3,"13,954"
623,Miracle Mile,1988,7.0,"8,934"
624,"Run, Fat Boy, Run",2007,6.6,"64,702"
625,Don't Think Twice,2016,6.7,"16,312"
626,"Peace, Love & Misunderstanding",2011,5.9,"7,736"
627,Remember the Daze,2007,5.9,"3,100"
628,Just Visiting,2001,5.8,"17,966"
629,The Masque of the Red Death,1964,7.0,"11,798"
630,The Search for One-eye Jimmy,1994,6.2,"1,477"
631,1985,2018,7.0,"1,509"
632,Beyond the Sky,2018,5.8,"3,468"
633,Sniper Special Ops,2016,3.2,"2,434"
634,The Sex Trip,2016,4.1,365
635,Braking for Whales,2019,4.4,127
636,The Front Page,1974,7.3,"11,895"
637,Dominion,2005,5.2,"10,195"
638,Temptation: Confessions of a Marriage Counselor,2013,5.0,"11,291"
639,Clementine,2019,6.1,69
640,The Wings of the Dove,1997,7.1,"10,144"
641,Luna,1979,6.5,"4,144"
642,The Boogey Man,1980,4.6,"3,704"
643,The Uninvited,1944,7.3,"9,422"
644,Becket,1964,7.8,"13,233"
645,Extreme Prejudice,1987,6.7,"5,933"
646,Cooley High,1975,7.2,"3,995"
647,Jeffrey,1995,6.8,"5,584"
648,Spaghettiman,2016,4.9,361
649,Unknown,2006,6.5,"28,806"
650,Christmas with the Kranks,2004,5.4,"40,778"
651,Charley Varrick,1973,7.5,"10,506"
652,My Favorite Wife,1940,7.4,"8,841"
653,Dead 7,2016,3.1,"1,191"
654,Money Talks,1997,6.2,"27,013"
655,Casa de mi Padre,2012,5.5,"19,868"
656,Good People,2014,5.5,"15,067"
657,Sierra,1950,6.7,690
658,Camp,2003,6.2,"5,537"
659,Club Paradise,1986,5.1,"5,730"
660,The Nowhere Inn,2020,6.0,35
661,Raise the Titanic,1980,5.0,"3,810"
662,Anatomy of a Love Seen,2014,4.7,"2,366"
663,Struck by Lightning,2012,6.3,"14,301"
664,The Secret of Moonacre,2008,6.1,"9,354"
665,The Meddler,2015,6.3,"11,336"
666,Ski Patrol,1990,5.3,"3,235"
667,Sir Billi,2012,3.6,506
668,Let's Scare Jessica to Death,1971,6.4,"6,691"
669,The Road Within,2014,7.1,"13,623"
670,Silent Rage,1982,5.5,"4,823"
671,Sullivan's Travels,1941,7.9,"23,134"
672,Blackbeard's Ghost,1968,6.9,"4,994"
673,The Wackness,2008,7.0,"29,583"
674,Only,2019,4.9,558
675,Keeping Mum,2005,6.8,"32,436"
676,Shangri-La Suite,2016,5.1,673
677,The Enemy Below,1957,7.5,"9,457"
678,The Weight of Water,2000,5.9,"8,814"
679,Monkey Trouble,1994,5.3,"6,213"
680,Raze,2013,5.2,"5,657"
681,The Quiet American,2002,7.0,"26,797"
682,Angel Eyes,2001,5.6,"22,089"
683,Angus,1995,6.7,"6,199"
684,The Astronaut Farmer,2006,6.3,"21,779"
685,Begotten,1989,5.8,"9,558"
686,The Contender,2000,6.9,"22,325"
687,The Plague Dogs,1982,7.8,"6,690"
688,Everything Beautiful Is Far Away,2017,5.6,827
689,Cookie's Fortune,1999,6.8,"12,465"
690,The Yakuza,1974,7.2,"7,458"
691,The Unicorn,2018,5.1,726
692,The City of Gold,2018,3.0,172
693,Killer Workout,1987,4.8,"1,648"
694,Skinwalkers,2006,4.6,"12,801"
695,Othello,1995,6.9,"8,849"
696,Inside the Rain,2019,4.2,134
697,Wedding Daze,2006,5.6,"14,894"
698,I Hope They Serve Beer in Hell,2009,5.3,"8,160"
699,Lowriders,2016,5.7,"2,138"
700,Permanent,2017,5.5,"1,771"
701,Stag,1997,5.6,875
702,Dead Night,2017,4.2,"1,135"
703,The Grudge 3,2009,4.7,"16,927"
704,The Corruptor,1999,6.1,"17,150"
705,The Keeping Hours,2017,6.3,"2,909"
706,Rock Dog,2016,5.9,"4,362"
707,Eating Out,2004,5.8,"5,819"
708,The Angriest Man in Brooklyn,2014,5.7,"20,490"
709,Fresh,1994,7.6,"11,816"
710,That Cold Day in the Park,1969,7.0,"1,339"
711,Red Riding Hood,2006,3.5,"1,026"
712,Mafia!,1998,5.6,"14,266"
713,Welcome to Mooseport,2004,5.2,"12,000"
714,The Mortuary Collection,2019,6.8,190
715,Cross 3,2019,2.3,114
716,Dreamer: Inspired by a True Story,2005,6.8,"11,829"
717,52 Pick-Up,1986,6.4,"4,700"
718,The Lovers,2017,6.0,"3,209"
719,Arthur Christmas,2011,7.1,"48,695"
720,Vacancy 2: The First Cut,2008,5.0,"7,052"
721,The Humbling,2014,5.6,"6,244"
722,Tom Horn,1980,6.9,"4,583"
723,12 Rounds 3: Lockdown,2015,5.2,"3,613"
724,Bye Bye Love,1995,6.2,"4,602"
725,Adulterers,2015,5.1,"1,456"
726,Enemy Gold,1993,4.2,599
727,The Children,1980,5.5,"1,790"
728,The Serpent's Egg,1977,6.7,"5,022"
729,Peyton Place,1957,7.2,"5,118"
730,The Raven,1963,6.7,"10,030"
731,Wind Chill,2007,5.8,"21,371"
732,De-Lovely,2004,6.6,"10,689"
733,Woodshock,2017,4.3,"1,435"
734,The Men,1950,7.1,"4,069"
735,The Invisible Maniac,1990,3.9,"1,083"
736,Barely Legal,2003,4.7,"5,813"
737,Return to Zootopia,2017,7.4,61
738,To End All Wars,2001,7.0,"10,154"
739,Madman,1981,5.3,"4,795"
740,The Driller Killer,1979,5.1,"6,366"
741,Luther,2003,6.5,"14,492"
742,The Bedroom Window,1987,6.4,"4,565"
743,Spare Parts,2015,7.3,"10,100"
744,Bikini Valley Car Wash,2020,4.3,66
745,Hell and Back,2015,5.4,"4,640"
746,Kill Switch,2017,4.8,"6,697"
747,Art School Confidential,2006,6.3,"16,448"
748,Some Came Running,1958,7.4,"5,489"
749,Red Corner,1997,6.3,"15,768"
750,Made in America,1993,5.1,"15,293"
751,The Comebacks,2007,4.3,"10,898"
752,Graduation Day,1981,4.8,"3,296"
753,In Like Flint,1967,6.2,"4,988"
754,Sugar Mountain,2016,5.4,"3,414"
755,My Fellow Americans,1996,6.5,"13,838"
756,The Pirates of Penzance,1983,7.1,"3,143"
757,Quicksilver,1986,5.7,"4,289"
758,Cougar Club,2007,4.1,"3,321"
759,Swing Shift,1984,5.9,"4,094"
760,Paris When It Sizzles,1964,6.4,"7,509"
761,The Rapture,1991,6.2,"4,782"
762,Superfast!,2015,4.1,"8,482"
763,Terry and the Pirates,1940,6.1,95
764,Simon Sez,1999,2.5,"6,532"
765,Boiling Point,1993,4.9,"5,421"
766,College Road Trip,2008,4.3,"15,102"
767,Kid Cannabis,2014,6.4,"9,275"
768,Death in Love,2008,4.8,994
769,Murphy's Romance,1985,7.0,"5,271"
770,Survival Island,2002,2.4,"3,890"
771,Daddy Day Camp,2007,3.1,"15,273"
772,Viva,2007,6.0,"1,033"
773,"Move Over, Darling",1963,7.0,"5,162"
774,See You in Valhalla,2015,5.3,"2,112"
775,Ghost House,2017,4.7,"3,890"
776,SubUrbia,1996,6.8,"8,609"
777,Last Days in the Desert,2015,5.6,"3,561"
778,The Spook Who Sat by the Door,1973,7.1,"1,082"
779,Cat Chaser,1989,5.2,"1,095"
780,Me and Orson Welles,2008,6.7,"10,554"
781,Demon Wind,1990,5.0,"2,034"
782,Lost Horizon,1937,7.7,"11,657"
783,The Protector,1985,5.8,"3,887"
784,The Last Vermeer,2019,6.7,131
785,Darkness,2002,5.5,"18,531"
786,B*A*P*S,1997,4.6,"4,793"
787,Brotherly Love,2015,6.6,"1,678"
788,Tom Sawyer,1973,6.5,"1,920"
789,Hot Pursuit,1987,5.9,"3,312"
790,The Perfect Match,2016,4.9,"3,271"
791,Supercon,2018,3.6,725
792,A Midsummer Night's Sex Comedy,1982,6.6,"17,978"
793,China Moon,1994,6.3,"5,748"
794,Sweet Dreams,1985,7.1,"4,057"
795,It Runs in the Family,2003,5.6,"4,568"
796,Surf Nazis Must Die,1987,3.7,"5,083"
797,Alpha and Omega,2010,5.2,"13,047"
798,The Free World,2016,6.1,"1,539"
799,Alex of Venice,2014,5.8,"2,953"
800,Prescription for Love,2019,6.2,365
801,Girl,1998,5.9,"2,644"
802,City by the Sea,2002,6.1,"23,838"
803,Love Is Strange,2014,6.7,"11,885"
804,As You Like It,2006,6.2,"2,967"
805,No Way Out,1950,7.4,"4,228"
806,Beyond the Sea,2004,6.7,"14,285"
807,Broken Vows,2016,4.2,"1,650"
808,Saving Christmas,2014,1.4,"14,735"
809,Mr 3000,2004,5.5,"13,648"
810,Dead Awake,2016,4.6,"2,932"
811,The Chamber,1996,6.0,"12,328"
812,See Spot Run,2001,5.4,"8,564"
813,Reform School Girls,1986,5.3,"2,101"
814,Spellbinder,1988,5.8,"2,039"
815,Butterflies Are Free,1972,7.2,"4,465"
816,Testament,1983,6.9,"5,561"
817,Breaking and Entering,2006,6.5,"21,669"
818,The Island,1980,5.3,"3,701"
819,The Rocket,2018,4.7,203
820,The Great White Hype,1996,5.5,"8,249"
821,Shopgirl,2005,6.3,"23,032"
822,Bachelor Night,2014,3.4,"1,467"
823,Sunflower,1970,7.4,"3,102"
824,Ganja & Hess,1973,6.3,"1,298"
825,Seven in Heaven,2018,5.3,"1,906"
826,Home of the Brave,2006,5.6,"10,330"
827,Fatal Instinct,1993,5.8,"6,616"
828,Flesh and Bone,1993,6.2,"4,761"
829,The Flame and the Arrow,1950,7.0,"3,310"
830,Two Evil Eyes,1990,6.1,"5,947"
831,Serving Sara,2002,5.4,"16,472"
832,8 Million Ways to Die,1986,5.8,"4,309"
833,Beneath,2013,3.7,"2,881"
834,Is Paris Burning?,1966,6.9,"3,779"
835,Swing Vote,2008,6.1,"17,339"
836,The Pride of the Yankees,1942,7.7,"9,486"
837,All We Had,2016,5.8,"1,943"
838,Against the Sun,2014,6.5,"5,152"
839,The Marine 6: Close Quarters,2018,4.9,"1,079"
840,Goodbye World,2013,5.5,"6,398"
841,The Grand Son,2018,4.6,259
842,Five Graves to Cairo,1943,7.3,"4,775"
843,The Zodiac,2005,5.4,"6,887"
844,American Skin,2019,5.4,84
845,Under the Rainbow,1981,5.5,"2,508"
846,Date with an Angel,1987,5.8,"2,427"
847,Wiener-Dog,2016,5.9,"8,978"
848,The Pom Pom Girls,1976,5.0,971
849,Destricted,2006,4.5,"2,502"
850,Dudes & Dragons,2015,4.6,905
851,Flesh for Frankenstein,1973,5.9,"5,228"
852,Confidence,2003,6.7,"32,859"
853,Our Family Wedding,2010,5.0,"6,617"
854,Taras Bulba,1962,6.4,"3,476"
855,Witchboard,1986,5.7,"5,972"
856,The Prize,1963,6.8,"4,072"
857,'Doc',1971,6.1,"1,332"
858,Digging Up the Marrow,2014,5.8,"4,442"
859,The Swan,1956,6.5,"2,207"
860,Blood Games,1990,4.9,547
861,Down in the Delta,1998,6.7,"1,496"
862,Remains,2011,4.3,"1,976"
863,Izzy Gets the F*ck Across Town,2017,5.4,"1,415"
864,Bloodline,1979,4.6,"1,383"
865,Eddie,1996,5.2,"9,100"
866,Angry Video Game Nerd: The Movie,2014,5.6,"6,761"
867,Raw Force,1982,5.4,"1,432"
868,A New Leaf,1971,7.4,"4,774"
869,Road to Paloma,2014,6.1,"4,550"
870,The Challenger Disaster,2019,6.6,921
871,Blood and Wine,1996,6.0,"8,979"
872,Attack of the 50 Foot Cheerleader,2012,4.4,"1,083"
873,Dream Boy,2008,6.2,"3,766"
874,Remember Me,2019,5.5,183
875,Opening Night,2016,6.2,"2,580"
876,Let's Kill Ward's Wife,2014,5.4,"5,357"
877,At Middleton,2013,6.5,"7,631"
878,Run the Tide,2016,5.2,"1,017"
879,The Alpha Test,2020,3.2,229
880,Officer Downe,2016,4.2,"1,818"
881,The Stöned Age,1994,6.3,"4,280"
882,Legends of Oz: Dorothy's Return,2013,5.1,"5,464"
883,And While We Were Here,2012,5.8,"3,586"
884,The Sound of Silence,2019,5.5,841
885,Wanted: Dead or Alive,1986,6.0,"4,253"
886,18 Again!,1988,5.8,"4,124"
887,The Throwaways,2015,4.5,"1,322"
888,Go Back to China,2019,5.7,425
889,Infestation,2009,5.9,"8,719"
890,Daddy's Little Girls,2007,5.7,"6,879"
891,Deviant Love,2019,3.6,280
892,Flock of Dudes,2016,5.3,894
893,Beau Geste,1939,7.6,"5,338"
894,Parting Glances,1986,7.1,"2,627"
895,Fallen Angel,1945,7.1,"4,677"
896,Life with Father,1947,7.2,"4,450"
897,Running Wild,2017,5.9,"1,246"
898,The Rake,2018,3.4,590
899,Private Romeo,2011,6.1,"2,038"
900,The Onion Field,1979,6.8,"4,375"
901,Dudley Do-Right,1999,3.9,"9,460"
902,Possession,2009,5.6,"7,064"
903,A Midsummer Night's Dream,2017,5.5,145
904,CQ,2001,6.2,"4,533"
905,Chalk It Up,2016,4.6,"1,134"
906,The Affair of the Necklace,2001,6.1,"4,960"
907,Burn Your Maps,2016,6.6,"1,112"
908,2020,2017,5.0,"1,324"
909,Zombie Tidal Wave,2019,4.6,434
910,1969,1988,5.8,"3,489"
911,Elvis and Anabelle,2007,7.2,"4,947"
912,Before and After,1996,6.1,"7,984"
913,When the Starlight Ends,2016,5.4,224
914,East Side Sushi,2014,7.1,"2,745"
915,The Last Rampage,2017,5.7,"1,425"
916,Knight Moves,1992,6.1,"7,584"
917,Canal Street,2018,4.5,250
918,An American Carol,2008,4.1,"9,282"
919,The Mob,1951,7.0,"1,232"
920,Never Talk to Strangers,1995,5.2,"6,177"
921,"Love, Wedding, Marriage",2011,4.9,"8,887"
922,All Through the Night,1942,7.1,"3,710"
923,The Arrangement,1969,6.6,"2,488"
924,The Ten,2007,5.0,"16,183"
925,Drowning Mona,2000,5.7,"12,948"
926,Madea's Witness Protection,2012,4.9,"9,887"
927,Smoky,1946,6.7,322
928,The Day,2011,5.2,"12,081"
929,Go Go Tales,2007,5.7,"1,226"
930,Abattoir,2016,4.4,"3,596"
931,Delta Force 2: The Colombian Connection,1990,4.9,"6,518"
932,Fairy Tales,1978,5.0,615
933,Most Beautiful Island,2017,5.7,"2,797"
934,Gun Shy,2000,5.7,"6,803"
935,Burning Dog,2020,3.8,123
936,Rosewater,2014,6.6,"10,127"
937,The Lie,2018,6.1,65
938,Rosebud,1975,5.1,681
939,Jessica Darling's It List,2016,5.4,758
940,Abstruse,2019,4.2,509
941,The Patsy,1964,6.3,"1,950"
942,Raven's Touch,2015,4.2,653
943,The Mummy Rebirth,2019,4.1,720
944,Aftermath,2014,4.7,"1,654"
945,The Silence of the Hams,1994,4.7,"5,011"
946,Without Evidence,1995,4.1,892
947,Poolhall Junkies,2002,6.9,"9,502"
948,Amazing Stories,1986,7.2,224
949,Barabbas,1961,6.9,"5,514"
950,Nuts,1987,6.6,"5,728"
951,Heart Condition,1990,5.6,"3,170"
952,Low Down,2014,6.1,"1,849"
953,"Boeing, Boeing",1965,6.5,"2,623"
954,The Basement,2018,4.5,"2,536"
955,Spring Breakdown,2009,4.8,"4,421"
956,Lovesick,2014,5.2,"2,657"
957,Stay Out Stay Alive,2019,4.0,659
958,Desperate Measures,1998,6.1,"15,525"
959,Chained for Life,2018,6.6,484
960,Night of the Lepus,1972,4.2,"4,066"
961,Life of a King,2013,6.9,"6,004"
962,The Ex Next Door,2019,5.5,131
963,The Killer Shrews,1959,4.0,"4,299"
964,King David,1985,5.3,"2,013"
965,Hollow Creek,2016,4.2,602
966,Unstoppable,2004,5.0,"4,661"
967,Seoul Searching,2015,7.0,"1,081"
968,The Bat People,1974,2.5,"2,164"
969,Mischievous,1996,4.2,112
970,Trick,1999,7.1,"8,047"
971,Chasing Papi,2003,4.8,"3,873"
972,A Dangerous Woman,1993,5.8,"1,561"
973,Carnosaur,1993,3.6,"3,595"
974,Goats,2012,5.9,"4,938"
975,Complete Unknown,2016,5.4,"5,529"
976,Cradle Will Rock,1999,6.8,"8,677"
977,The Klansman,1974,5.1,"1,271"
978,Another You,1991,5.4,"3,474"
979,The Black Swan,1942,6.8,"3,857"
980,Houseguest,1995,6.0,"6,357"
981,Union Station,1950,6.8,"2,189"
982,Strange Bedfellows,1965,6.0,725
983,Mantervention,2014,4.8,872
984,Adventures of Don Juan,1948,7.0,"2,690"
985,Wieners,2008,4.3,"2,188"
986,Keys to Tulsa,1997,5.1,"1,536"
987,Réalité,2014,6.9,"5,016"
988,The Secret Life of Walter Mitty,1947,7.0,"5,470"
989,Thirst,2015,4.4,995
990,Zoombies,2016,3.3,"2,125"
991,With Six You Get Eggroll,1968,6.5,"2,376"
992,Tempest,1982,6.5,"2,093"
993,Poor White Trash,2000,5.1,"1,226"
994,Amreeka,2009,7.0,"3,411"
995,Homo Erectus,2007,3.5,"1,618"
996,Welcome to Hollywood,1998,4.9,712
997,Illegally Yours,1988,4.3,850
998,Crime + Punishment in Suburbia,2000,5.9,"2,934"
999,Return of the Killer Tomatoes!,1988,5.2,"6,526"
1000,Sex and Breakfast,2007,4.8,"4,126"
1001,Watching the Detectives,2007,6.3,"4,104"
1002,Go for It,1983,7.2,"8,602"
1003,Here Awhile,2019,6.0,73
1004,Ghost in the Machine,1993,4.6,"3,164"
1005,A Girl Like Grace,2015,5.9,455
1006,The Night They Raided Minsky's,1968,6.1,"1,356"
1007,Minotaur,2006,3.6,"4,290"
1008,Someone Marry Barry,2014,5.8,"7,165"
1009,$,1971,6.3,"2,215"
1010,Love and a .45,1994,6.1,"3,908"
1011,Platoon Leader,1988,5.4,"1,538"
1012,Hero and the Terror,1988,5.3,"3,266"
1013,Wisdom,1986,5.8,"2,998"
1014,The Assassin's Code,2018,5.0,926
1015,Day the World Ended,1955,5.4,"1,784"
1016,Swimming with Sharks,1994,7.1,"21,466"
1017,Gas! -Or- It Became Necessary to Destroy the World in Order to Save It.,1970,4.2,"1,196"
1018,Baadasssss!,2003,7.3,"4,658"
1019,The Big White,2005,6.4,"13,744"
1020,September,1987,6.5,"8,810"
1021,Traded,2016,5.1,"2,607"
1022,The Gymnast,2006,6.3,"2,020"
1023,Show Boat,1936,7.4,"2,791"
1024,You're a Big Boy Now,1966,6.1,"1,394"
1025,Strawberry and Chocolate,1993,7.4,"5,179"
1026,Dragon Soldiers,2020,2.7,109
1027,Max 2: White House Hero,2017,5.2,"1,202"
1028,The Lonely Lady,1983,2.9,915
1029,Save the Date,2012,5.8,"6,650"
1030,The Revengers,1972,6.1,865
1031,Panic in the Streets,1950,7.3,"6,819"
1032,We'll Never Have Paris,2014,4.6,"3,348"
1033,It's All About Love,2003,5.4,"7,848"
1034,The Work Wife,2018,3.9,192
1035,Alice's Restaurant,1969,6.3,"3,854"
1036,Deuces,2016,5.9,854
1037,Design for Living,1933,7.5,"5,462"
1038,Carter & June,2017,4.4,311
1039,Ninja Cheerleaders,2008,3.3,"1,531"
1040,The Great Alaskan Race,2019,4.9,270
1041,Outsourced,2006,7.0,"11,136"
1042,Domain,2016,5.5,855
1043,Angel of Death,2009,5.0,"2,102"
1044,Light from Light,2019,5.6,319
1045,Lord Jim,1965,6.8,"3,408"
1046,Cougar Hunting,2011,3.6,"1,043"
1047,Day of the Outlaw,1959,7.3,"2,853"
1048,Clash by Night,1952,7.1,"5,360"
1049,Rebound,2005,5.2,"12,198"
1050,The Scarlet Claw,1944,7.3,"4,587"
1051,Among Friends,2012,4.4,"1,547"
1052,Bang! Bang! You're Dead!,1966,5.7,654
1053,The Man I Love,1946,6.8,784
1054,Deceived,1991,6.2,"6,308"
1055,The King of the Kickboxers,1990,5.9,"1,433"
1056,Jurassic Galaxy,2018,2.3,508
1057,Dark Ride,2006,4.6,"5,932"
1058,Starting Over,1979,6.4,"2,224"
1059,Brenda Starr,1989,4.8,974
1060,Billy the Kid,2013,2.2,311
1061,The Chosen,1981,7.1,"1,794"
1062,Scorpio,1973,6.4,"3,727"
1063,Moment by Moment,1978,3.0,"1,037"
1064,Planet of Dinosaurs,1977,4.0,"1,373"
1065,Loving You,1957,6.5,"1,816"
1066,Listen Up Philip,2014,6.3,"6,008"
1067,The Way We Weren't,2019,6.8,"1,275"
1068,Do You Take This Man,2016,5.6,461
1069,The Associate,1996,6.1,"7,316"
1070,Forced Vengeance,1982,5.7,"2,654"
1071,The Old Maid,1939,7.6,"3,095"
1072,El Gringo,2012,5.4,"5,768"
1073,Pitfall,1948,7.2,"2,810"
1074,Villain,1971,6.6,"1,304"
1075,Like.Share.Follow.,2017,5.1,"1,575"
1076,The Penthouse,2010,3.6,"1,376"
1077,The Ghost in the Invisible Bikini,1966,4.5,930
1078,Do It for Uncle Manny,2002,5.0,135
1079,The Color of Time,2012,4.3,"1,279"
1080,Compulsion,1959,7.4,"5,591"
1081,Radioland Murders,1994,6.2,"3,297"
1082,Mother Night,1996,7.1,"4,808"
1083,The Bachelor and the Bobby-Soxer,1947,7.3,"7,535"
1084,Sushi Girl,2012,6.0,"4,535"
1085,Westbound,1959,6.6,"1,051"
1086,The Private Lives of Adam and Eve,1960,4.6,108
1087,Song of the Thin Man,1947,7.1,"4,293"
1088,Strictly Business,1991,5.4,"1,804"
1089,Finding Eden,2017,5.1,45
1090,Crazy Kind of Love,2013,5.8,"1,816"
1091,Berserker,1987,4.3,518
1092,Zoot Suit,1981,6.8,"1,036"
1093,"Follow Me, Boys!",1966,7.2,"2,051"
1094,The Three Lives of Thomasina,1963,7.2,"2,070"
1095,Danger One,2018,6.3,"2,173"
1096,His Kind of Woman,1951,7.1,"3,758"
1097,The Strange Woman,1946,6.7,"1,642"
1098,Malice in Wonderland,2009,6.0,"2,968"
1099,Young Man with a Horn,1950,7.2,"2,863"
1100,Digimon: The Movie,2000,6.1,"6,646"
1101,Plank Face,2016,5.5,255
1102,The Further Adventures of Tennessee Buck,1988,4.7,505
1103,King Arthur and the Knights of the Round Table,2017,2.1,511
1104,The Puffy Chair,2005,6.5,"4,782"
1105,Step Up China,2019,6.5,"1,057"
1106,American Violence,2017,4.5,"1,626"
1107,7 Deadly Sins,2019,3.2,65
1108,Resurrection,1980,7.3,"2,610"
1109,Hey Arnold! The Movie,2002,6.0,"6,313"
1110,Gremlin,2017,3.8,791
1111,Metalstorm: The Destruction of Jared-Syn,1983,3.8,"1,521"
1112,The Great Sinner,1949,6.6,"1,042"
1113,Necromancy,1972,4.7,707
1114,Greenlight,2019,4.6,151
1115,Snow Angels,2007,6.8,"12,115"
1116,The Caveman's Valentine,2001,5.8,"6,238"
1117,The Teahouse of the August Moon,1956,6.8,"3,056"
1118,The Favorite,2019,5.4,325
1119,Jamesy Boy,2014,6.3,"5,263"
1120,The Light at the Edge of the World,1971,6.1,"1,238"
1121,Red Velvet,2008,4.7,438
1122,Layla Live or Die,2008,4.7,35
1123,When Nietzsche Wept,2007,6.5,"4,146"
1124,The Student,2017,4.3,572
1125,Unintended,2018,5.3,171
1126,A Small Town Idol,1921,6.3,46
1127,Rich and Famous,1981,5.9,"1,492"
1128,You Have a Nice Flight,2017,7.1,39
1129,Albanian Gangster,2018,5.5,133
1130,Who Gets the Dog?,2016,4.9,"1,230"
1131,I Am David,2003,7.2,"7,068"
1132,Trapped in Paradise,1994,6.0,"11,969"
1133,Halloween at Aunt Ethel's,2019,4.6,868
1134,Yu-Gi-Oh!: The Movie - Pyramid of Light,2004,5.0,"7,793"
1135,Synchronicity,2015,5.5,"10,022"
1136,Retroactive,1997,6.2,"5,540"
1137,Broken Star,2018,4.3,470
1138,Mysterious Island,2010,3.5,871
1139,Friends Effing Friends Effing Friends,2016,4.6,128
1140,SAGA: Curse of the Shadow,2013,4.9,"3,228"
1141,K-11,2012,5.1,"1,546"
1142,The Ambushers,1967,5.4,"1,622"
1143,Don't Come Back from the Moon,2017,5.6,915
1144,Apartment 407,2016,6.1,517
1145,Mrs. Soffel,1984,6.1,"2,905"
1146,The Last Valley,1971,7.2,"2,704"
1147,Shrink,2009,6.7,"18,092"
1148,Times Square,1980,6.8,"1,278"
1149,The Black Prince,2017,6.5,865
1150,The Last of the Mohicans,1936,6.6,"1,155"
1151,The Dirt Bike Kid,1985,5.6,932
1152,Roman Scandals,1933,6.6,547
1153,Dirty Deeds,2005,5.8,"8,272"
1154,Ghost Chase,1987,4.2,694
1155,House of the Rising Sun,2011,4.4,"3,275"
1156,The Ghost of Frankenstein,1942,6.2,"5,304"
1157,A Child Is Waiting,1963,7.2,"2,425"
1158,Book of Love,1990,6.2,"1,008"
1159,Manny & Lo,1996,6.5,"1,798"
1160,The Kennel Murder Case,1933,7.0,"2,877"
1161,Exeter,2015,4.5,"5,320"
1162,American Son,2008,5.7,781
1163,"Pussycat, Pussycat, I Love You",1970,4.8,472
1164,The Mountain Minor,2019,5.6,27
1165,Unexpected,2015,5.7,"2,997"
1166,Lady Beware,1987,5.9,838
1167,The Man Who Loved Women,1983,5.2,"2,085"
1168,The Amazing Colossal Man,1957,4.5,"2,223"
1169,Night Terrors,1993,3.5,"1,175"
1170,MVP: Most Valuable Primate,2000,4.1,"2,221"
1171,Straight Talk,1992,5.8,"3,285"
1172,Man Hunt,1941,7.3,"4,638"
1173,A Question of Faith,2017,5.8,942
1174,September 11,2002,6.9,"5,367"
1175,Catacombs,2007,4.6,"8,255"
1176,Where the Red Fern Grows,2003,6.4,"1,037"
1177,River of Grass,1994,6.6,"1,423"
1178,The Ugly American,1963,6.7,"1,833"
1179,Circumstance,2011,5.8,"7,222"
1180,Slow Burn,2005,5.8,"3,655"
1181,Petticoat Planet,1996,2.6,394
1182,Guns for Hire,2015,5.6,"2,537"
1183,What Ever Happened to Aunt Alice?,1969,6.9,"2,053"
1184,Hot to Trot,1988,4.5,"2,996"
1185,Buddy,1997,4.9,"2,441"
1186,Bogus,1996,5.4,"6,055"
1187,Twenty Bucks,1993,6.3,"3,532"
1188,Not Cool,2014,4.2,"5,249"
1189,Speechless,1994,5.8,"4,702"
1190,Mata Hari,1985,3.7,668
1191,Matilda,1978,3.4,307
1192,Bizarre,2015,4.6,962
1193,"Daddy, Darling",1970,4.9,283
1194,Russ Meyer's Lorna,1964,5.9,961
1195,Hard Cash,2002,4.5,"2,989"
1196,Motherhood,2009,4.6,"4,303"
1197,Mercy,2014,5.0,"4,819"
1198,"Cornbread, Earl and Me",1975,6.9,738
1199,Christmas Eve,2015,5.0,"2,246"
1200,The Reef,2006,4.2,"3,710"
1201,Nesting Dolls,2019,5.0,128
1202,Everything Before Us,2015,7.0,980
1203,Savage Island,1985,3.5,528
1204,I'll Do Anything,1994,5.5,"2,387"
1205,Night and Day,1946,6.1,"2,596"
1206,Virgin Hunters 2,2016,5.0,38
1207,Chimera Strain,2018,4.7,"1,161"
1208,All Hallows' Eve 2,2015,4.8,"1,454"
1209,Landline,2017,6.4,"3,952"
1210,Solo,1996,4.0,"4,033"
1211,Firelight,1964,5.7,311
1212,The Furies,1950,7.3,"2,657"
1213,Funny Story,2018,5.1,381
1214,The Ten Commandments,1923,6.8,"1,875"
